slug,area_name,filename,status
ALPINE,Alpine,LOCAL_MUNICIPALITY_RESTRICTION_MAP_ALPINE.pdf,ok
ARARAT_NORTH,Ararat North,LOCAL_MUNICIPALITY_RESTRICTION_MAP_ARARAT_NORTH.pdf,ok
ARARAT_SOUTH,Ararat South,LOCAL_MUNICIPALITY_RESTRICTION_MAP_ARARAT_SOUTH.pdf,ok
BALLARAT,Ballarat,LOCAL_MUNICIPALITY_RESTRICTION_MAP_BALLARAT.pdf,ok
BANYULE,Banyule,LOCAL_MUNICIPALITY_RESTRICTION_MAP_BANYULE.pdf,ok
BASS_COAST,Bass Coast,LOCAL_MUNICIPALITY_RESTRICTION_MAP_BASS_COAST.pdf,ok
BAW_BAW,Baw Baw,LOCAL_MUNICIPALITY_RESTRICTION_MAP_BAW_BAW.pdf,ok
BENALLA,Benalla,LOCAL_MUNICIPALITY_RESTRICTION_MAP_BENALLA.pdf,ok
BOROUGH_OF_QUEENSCLIFFE,Borough Of Queenscliffe,LOCAL_MUNICIPALITY_RESTRICTION_MAP_BOROUGH_OF_QUEENSCLIFFE.pdf,ok
BULOKE_NORTH,Buloke North,LOCAL_MUNICIPALITY_RESTRICTION_MAP_BULOKE_NORTH.pdf,ok
BULOKE_SOUTH,Buloke South,LOCAL_MUNICIPALITY_RESTRICTION_MAP_BULOKE_SOUTH.pdf,ok
CAMPASPE,Campaspe,LOCAL_MUNICIPALITY_RESTRICTION_MAP_CAMPASPE.pdf,ok
CARDINIA,Cardinia,LOCAL_MUNICIPALITY_RESTRICTION_MAP_CARDINIA.pdf,ok
CASEY,Casey,LOCAL_MUNICIPALITY_RESTRICTION_MAP_CASEY.pdf,ok
CENTRAL_GOLDFIELDS,Central Goldfields,LOCAL_MUNICIPALITY_RESTRICTION_MAP_CENTRAL_GOLDFIELDS.pdf,ok
COLAC_OTWAY,Colac Otway,LOCAL_MUNICIPALITY_RESTRICTION_MAP_COLAC_OTWAY.pdf,ok
CORANGAMITE,Corangamite,LOCAL_MUNICIPALITY_RESTRICTION_MAP_CORANGAMITE.pdf,ok
EAST_GIPPSLAND,East Gippsland,LOCAL_MUNICIPALITY_RESTRICTION_MAP_EAST_GIPPSLAND.pdf,ok
FALLS_CREEK_ALPINE_RESORT,Falls Creek Alpine Resort,LOCAL_MUNICIPALITY_RESTRICTION_MAP_FALLS_CREEK_ALPINE_RESORT.pdf,ok
FRANKSTON,Frankston,LOCAL_MUNICIPALITY_RESTRICTION_MAP_FRANKSTON.pdf,ok
